Number,State,Value,Param bagging_fraction,Param bagging_freq,Param feature_fraction,Param lambda_l1,Param lambda_l2,Param learning_rate,Param max_depth,Param min_child_samples,Param min_gain_to_split,Param n_estimators,Param num_leaves
104,COMPLETE,0.6429361458594018,0.8134152270971499,6,0.7056955376335864,1.9138299999291388,4.813057078182348,0.017159551534255742,14,13,0.6891235663856666,416,32
105,COMPLETE,0.6418466969588295,0.8301060341286467,6,0.6926713747873577,2.4974222399420145,5.458264118872207,0.020133263390645265,8,7,0.7567433154805344,476,36
106,COMPLETE,0.6414496835252306,0.7102082804043829,5,0.725690871268134,2.181420691448898,5.78976769158084,0.011212737419063121,11,12,0.8203200286622366,445,62
107,COMPLETE,0.6428560344370091,0.6845831813492266,4,0.517622018587273,1.6901413676006196,6.452944043894626,0.015331081704991902,20,15,0.7781611671705342,389,29
108,COMPLETE,0.6389555698179084,0.9544687313606328,7,0.4977697827481749,2.8746082997394735,6.568044655144314,0.05671208602460147,19,30,0.8525153791341805,509,25
109,COMPLETE,0.6431834210207972,0.7922801266426428,6,0.6711227541401695,3.081946932440805,7.314812786468485,0.013434244169786148,15,26,0.9857811398155923,428,34
110,COMPLETE,0.6425198386688983,0.7492787930169234,5,0.6145529742453409,6.600326450583273,5.228170093227059,0.023038296617932275,12,45,0.7370758647484078,493,37
111,COMPLETE,0.6431607014699893,0.8732130901529847,5,0.6263886671435361,3.4223715027093546,7.059033277681338,0.012774541761170061,13,11,0.9071702905545005,548,20
112,COMPLETE,0.642701537919259,0.9344428067159419,5,0.6939457777943961,2.574550410154315,6.765383517496478,0.010200325034319009,21,35,0.8791767968360102,465,24
113,COMPLETE,0.6422760893245861,0.896146782129265,5,0.6636542140148378,2.3457384756782984,5.899834482294824,0.018240790686435592,12,9,0.6206754417085188,595,22
114,COMPLETE,0.642505703250259,0.8357248256181317,6,0.6463967645749373,1.8984638156279527,6.346406964901063,0.015828607897612187,18,7,0.9615889957623612,529,27
115,COMPLETE,0.6419589872670206,0.6129705977068742,6,0.5324974770427718,1.6331448203415762,8.841093458069249,0.01410291032372211,10,18,0.9212836747198787,562,31
116,COMPLETE,0.6378447338181714,0.9078094842870259,5,0.6750743108636438,4.850975809319272,7.5176992239799,0.04107257911066482,16,10,0.8345611480457449,447,29
117,COMPLETE,0.6428219086714639,0.8632849338518246,4,0.7159020638362489,2.1320653578733673,6.229502566865554,0.02015941351437269,30,14,0.7998826560681069,368,20
118,COMPLETE,0.6365071595591767,0.8872631355718297,6,0.5807297390719651,2.7572690718313306,6.948825895779125,0.04680742311807273,14,5,0.9485587533762717,661,25
