Number,State,Value,Param bagging_temperature,Param border_count,Param depth,Param iterations,Param l2_leaf_reg,Param learning_rate,Param min_data_in_leaf,Param random_strength
59,COMPLETE,0.6351638589731466,0.1681684005023236,69,4,396,2.1477697255132693,0.008991266448889345,88,2.0472431836260617e-06
60,COMPLETE,0.6388045991172412,0.22949800735530715,114,9,1117,33.05974253522453,0.22455061975443538,59,5.046173065575675e-05
61,COMPLETE,0.6282798065003007,0.03854123382926408,181,6,774,0.7046244350377444,0.0022401834614516817,94,2.2435738938175683e-07
62,COMPLETE,0.6425498099002315,0.13038602607349933,29,5,722,2.720640330294671,0.04216409306760212,70,1.7537678245553757e-05
63,COMPLETE,0.6423735511963931,0.11712999742431468,27,5,986,8.31608892295512,0.02156506640169161,65,3.3725142992896367e-08
64,COMPLETE,0.6418977194972241,0.09324897040276778,55,4,627,3.1222660196389507,0.04355636451420323,84,8.241078916662682e-06
65,COMPLETE,0.6412926864279891,0.15022810249239363,9,3,866,41.95427724454522,0.07875726108839642,70,1.847974007413222e-05
66,COMPLETE,0.6399837866712483,0.19426662089789143,19,6,462,1.1448156768286712e-08,0.136218199182385,80,6.348776748449263e-07
67,COMPLETE,0.6371253599655624,0.031944263448065224,46,7,1867,0.00025976301713770666,0.04459230090873079,74,4.51063216425513e-06
68,COMPLETE,0.6402635264989552,0.09917405705467956,140,2,321,8.291790258997368,0.328921871542662,54,7.944064158854288e-05
69,COMPLETE,0.642997881594789,0.2810974203663821,33,8,760,48.869455973998605,0.016984843873951994,62,0.0007753953461793356
70,COMPLETE,0.6421367463185539,0.31137967494909036,32,6,768,0.032940082390894285,0.033795165343853545,62,0.007516176766124535
71,COMPLETE,0.6410627724327772,0.22668325502625408,8,5,748,0.17011967228823047,0.17208029017024923,46,0.0008413712521510083
72,COMPLETE,0.6431276438091125,0.2690908982539381,42,8,659,45.153772812511285,0.017983748381254765,69,0.00038632105847721755
73,COMPLETE,0.6426358548405318,0.2774348811513266,25,8,641,61.22575218828341,0.013623603796523527,70,0.00020288927146652094
74,COMPLETE,0.641415743517019,0.28341251673255474,44,9,644,99.18335072776547,0.013129784441072283,67,0.0002343844921732922
75,COMPLETE,0.6417092793990059,0.4266228163490856,23,10,589,40.14947023883823,0.016818503325798716,60,0.000494453556342837
76,COMPLETE,0.6406627118644552,0.34656163287416797,36,8,831,48.049878012431996,0.005897756664182149,90,0.0028637707501153265
77,COMPLETE,0.6412649442846599,0.3858264712111649,52,7,510,12.850400937456763,0.10161560857698243,55,0.0013756343569757265
78,COMPLETE,0.6312080976108492,0.4958873618435889,74,9,231,4.321572284470077,0.0036885583524655114,64,0.004487094976960991
79,COMPLETE,0.6410125822301277,0.2681339313220715,13,8,565,99.62389887785598,0.00953886672924769,1,0.0210493162476579
80,COMPLETE,0.640377513628944,0.3239894950232859,41,12,446,52.16317893709374,0.0652676625778031,33,0.000316149036024433
81,COMPLETE,0.6175843296856594,0.18022589511246023,230,7,146,22.419570811382467,8.25052671371848e-05,72,9.631004330307925e-05
82,COMPLETE,0.6424697806397364,0.1316074900655296,29,6,685,13.112106521606929,0.03452630370763596,69,7.5151547764898385
83,COMPLETE,0.6425445586832994,0.20205271167550698,19,4,886,1.5050786226603927,0.023932756430153985,80,4.743413611715906e-05
84,COMPLETE,0.642518763419717,0.13567241923553838,32,5,639,8.85487781953177,0.05198718970037912,84,0.0005411544540028185
85,COMPLETE,0.6431368030745639,0.6368852259896194,48,8,725,55.966479234166044,0.015568615669742554,72,0.00014957844613466088
86,COMPLETE,0.6435824849295789,0.6335563563879231,48,8,815,49.89835518950002,0.017292585296242603,75,0.00016262564251003054
87,COMPLETE,0.6428715416021125,0.6399908727350297,49,9,809,56.37233756068049,0.014572975576506799,75,0.00016982474446094385
88,COMPLETE,0.641134982023977,0.6380170911961316,70,10,817,26.168190064688904,0.01736166911409543,75,0.00013700845145884303
89,COMPLETE,0.6402971378595766,0.6367807509096634,84,11,957,67.80082211597261,0.004549079135275738,79,0.0008171578341849505
90,COMPLETE,0.6292785754578726,0.6043245714321306,55,9,907,24.78243035874491,0.0026655420600444073,75,0.0003183800717700677
91,COMPLETE,0.6428443531585277,0.7928375369876915,49,9,736,53.601237638232284,0.011117182811656067,83,6.267768012402186e-05
92,COMPLETE,0.6414645834067433,0.7916296507675182,48,9,733,55.62076822535094,0.0071657443473149155,83,7.01598170638374e-05
93,COMPLETE,0.6411757843367645,0.692358134534201,49,10,808,15.558148199358055,0.010335901985079318,77,0.001700825006760123
94,COMPLETE,0.6431366244617431,0.7343100656818073,41,8,520,37.3148345849409,0.0250964248662959,89,4.224784788505304e-05
95,COMPLETE,0.6307973077703808,0.8549347033859511,61,8,526,1.791132453223682e-05,0.0013176265943968832,89,0.00011364244325158177
96,COMPLETE,0.6419412010023237,0.7524139671771586,56,8,378,97.97750906816873,0.02578921638305355,97,3.608388355670763e-05
97,COMPLETE,0.6429760122410082,0.5580240554800313,45,9,1664,32.44056925029858,0.019183275618484985,85,0.00030194059763852206
98,COMPLETE,0.6433769658734342,0.6763775314660803,40,9,1679,50.255475654816294,0.008246522355236248,93,0.00023864723335280491
99,COMPLETE,0.6378132015107844,0.5825683412952061,41,10,1678,5.517946519351072,0.017653202740462108,95,0.00026377209733046336
100,COMPLETE,0.6302408359548695,0.6672556334859178,43,9,1719,0.0016516282288136098,0.005117017132067403,92,0.0008826430114105347
