Number,State,Value,Param bagging_fraction,Param bagging_freq,Param colsample_bytree,Param feature_fraction,Param learning_rate,Param max_bin,Param max_depth,Param min_child_samples,Param min_child_weight,Param min_split_gain,Param num_leaves,Param reg_alpha,Param reg_lambda,Param scale_pos_weight,Param subsample,UserAttribute best_iteration
45,COMPLETE,0.6439240605158527,0.7235809326583558,6,0.9479005229331748,0.5201211523354506,0.01750508553822812,377,20,76,0.0017128757168376504,0.10977397957195043,18,7.797881289375045,0.006255751839662077,9.884743846129634,0.9997029795167858,530
46,COMPLETE,0.6449190518122643,0.749073801179614,7,0.5175851174208086,0.4667993466086823,0.01925472148146007,242,17,86,0.016030426909841813,0.10003891228256248,17,7.131563287495485,0.1690841284080512,5.765683835708284,0.7737975638751108,851
47,COMPLETE,0.6445141794145495,0.7493875786944744,7,0.5131949102859702,0.4787579570281046,0.019769166116625204,306,17,88,0.059397194721824746,0.09910268045859968,17,7.081096363685878,0.4896682009831322,5.70290202802639,0.7707323583333456,669
48,COMPLETE,0.64449523931103,0.7682577006898444,6,0.814645839002414,0.48708172299204,0.019306152541704223,441,17,85,0.018158739181047386,0.10441931729338746,16,6.614249023678073,0.001604478288624243,6.741748952409143,0.8640024474345819,833
49,COMPLETE,0.643750752495814,0.7600919643519176,8,0.7663405977175892,0.4674855063035747,0.018905867088599353,474,18,90,0.09832572023701193,0.09782247764205249,12,7.1873765070292635,0.16251185735297108,6.368727505871064,0.9032023541594222,687
50,COMPLETE,0.6442470889468127,0.7740074841263384,7,0.5287561894824737,0.529420210301854,0.014203430188216926,199,16,87,2.355348224511086,0.11395845125028851,17,7.3525793183923245,1.6137490422269338,4.746870150938343,0.7233889828318819,678
51,COMPLETE,0.644664028426702,0.7311029017995498,7,0.583670506050766,0.4579341551119555,0.018329490196034654,240,23,83,0.004305495635213465,0.10211310852322807,19,7.680844984391653,0.1628274407549075,8.801317113584238,0.7824815500118516,727
52,COMPLETE,0.6440870554316173,0.7446003827713041,7,0.5626140206890461,0.46395247838408077,0.019293650192323035,212,17,89,0.013763196248426802,0.1004740646345074,18,8.014809901029714,0.08097996090713207,4.169528987099244,0.6739701915624424,602
53,COMPLETE,0.644277842502301,0.7791770189076106,7,0.7409884301480655,0.469578555519771,0.01786865078313368,257,18,95,0.03597397881098401,0.10312875761623173,15,7.59215160525345,0.03170922297127752,1.0214414327151569,0.9675237560024202,785
54,COMPLETE,0.6447627584495368,0.7989784044456161,7,0.7910791261697985,0.47399124681105964,0.01833236146474397,222,19,92,0.008911819243056878,0.10668050530962454,16,7.879850138566095,0.01776809215114227,3.7527300892001314,0.7497453025964893,853
55,COMPLETE,0.6449958410361899,0.7180490428757866,6,0.851652827466422,0.4566906822019279,0.018836059765373094,177,17,114,0.005372201158999812,0.09738409502109119,18,6.970072792411455,0.004519172017129974,4.887814093617292,0.8287039777276008,636
56,COMPLETE,0.6451450506144438,0.7213199191738232,6,0.8659781083707666,0.45599673803324703,0.01894805278741849,94,17,85,0.002733335469741042,0.09619873110366196,17,6.966120454896773,0.0015655212660171994,5.107540809881513,0.815643567610761,692
57,COMPLETE,0.6444738450673525,0.7185294923690358,6,0.8723429347395,0.45554790969107417,0.018758982478496788,89,16,107,0.002147241783414226,0.0974537583454569,18,6.949103508033666,0.0013991847704939375,4.989732943833353,0.8308080180603878,525
58,COMPLETE,0.6445548316925674,0.7054369337444297,6,0.8314860901897466,0.45462601946177145,0.019521772477352838,124,18,99,0.0027753518057801164,0.09652230060797591,18,6.293927129975938,0.0022715956813436034,5.4777825439563435,0.8144926104555149,446
59,COMPLETE,0.6443778978322662,0.7099595407298827,6,0.8619280126935711,0.5056417079898359,0.015116291262116346,172,17,84,0.004824211840672146,0.09892303671463745,17,6.641568845826437,0.0010015104446889217,4.238816716457489,0.8520122280513519,636
60,COMPLETE,0.6444817576153148,0.6902467514942549,6,0.9314407576579554,0.46160066262924015,0.018868124855956483,96,16,81,0.0011751112233000375,0.09800805104268019,16,6.767296172205262,0.004216544008488883,4.856903537651115,0.937895489929678,530
61,COMPLETE,0.6445849815367213,0.7194243054667389,6,0.8587338474309325,0.4665309849157534,0.019167265490224208,116,17,86,0.012653264606496736,0.10178963117967432,17,7.038878395572923,0.0017319486009238537,6.065785000437901,0.7936571360099536,535
62,COMPLETE,0.644606257895937,0.749745487304577,6,0.8198661911185845,0.4523828211510998,0.019476516648302855,173,17,88,0.003410626850963196,0.10048136954405418,17,7.2014738014103825,0.0030339319427089106,5.561936165025924,0.8139010889409847,681
63,COMPLETE,0.6440756992284697,0.7901390851857115,6,0.8456291639154507,0.4618874488224706,0.018467469197433778,411,18,84,0.007982559964399007,0.09976913846894686,17,6.905003682856454,0.00879907429447201,7.005850935864166,0.8388926663523433,534
