Number,State,Value,Param bagging_fraction,Param bagging_freq,Param feature_fraction,Param lambda_l1,Param learning_rate,Param max_depth,Param min_child_samples,Param min_gain_to_split,Param n_estimators,Param num_leaves
58,COMPLETE,0.6435902402982588,0.7144941082868219,7,0.45984303841474383,7.518202972444141,0.015794347244275107,9,92,0.03468490315748146,902,21
59,COMPLETE,0.6439663060202322,0.7356509722565893,7,0.4925997161637982,6.103965464409155,0.019291080549905106,10,87,0.13467408234781036,786,16
60,COMPLETE,0.6445623727258624,0.7207181203175521,7,0.5189819033826707,0.4432229895879445,0.016943906683507502,9,98,0.17820990060820535,845,18
61,COMPLETE,0.6440325678044989,0.7336918348495363,7,0.5195366776513178,6.65690191031631,0.01788821112443383,9,95,0.1240190921285437,844,20
62,COMPLETE,0.6444274200229659,0.7500899750663048,7,0.5401550880240144,6.866348162775634,0.017180125831120344,9,90,0.08740027209114264,889,17
63,COMPLETE,0.6440621603766518,0.7291387200193821,7,0.5016455371044547,7.484851245903819,0.01876008855089598,10,96,0.17914213347969224,856,18
64,COMPLETE,0.6448976004124841,0.7397190911590471,7,0.4738087746073235,6.308825415389246,0.01745960481470487,8,92,0.03349082342121544,759,16
65,COMPLETE,0.6432916818237506,0.7087762606878463,7,0.4705102524605541,6.166842792082514,0.015674802950278455,21,92,0.7534173282930038,765,15
66,COMPLETE,0.6397672400595464,0.8366099255910986,7,0.4896663601087991,7.75081453841618,0.0040035474806862405,8,85,0.029105225559492312,738,13
67,COMPLETE,0.6438653504816503,0.7707218822884181,7,0.44303887325897395,6.3763839530594435,0.016347974000125505,8,99,0.07535704819316234,818,19
68,COMPLETE,0.644395459044809,0.7569923659004066,7,0.5397116011962078,7.022096996413563,0.01793600533642851,20,89,0.16852291423664784,953,22
69,COMPLETE,0.6442202291508183,0.8273176852847303,7,0.5290292871650306,7.315707484252449,0.019842464711061245,9,80,0.22826975716382658,802,14
70,COMPLETE,0.6448827255367664,0.7411598284398621,7,0.508246910386623,5.870524309668179,0.016754504876293715,8,93,0.048683861660279146,915,21
